tweet_type,userid,screen_name,date,hashtag,qtd_hashtag,rt_hashtag
retweeted_tweet_without_comment,1029845032348479488,breakgear001,Sat Aug 01 03:51:03 +0000 2020,taketheoath q qanon qarmyjapanflynn wwg1wga,"",taketheoath q qanon qarmyjapanflynn wwg1wga japan q4510
quoted_tweet,3876285323,Marybankergirl,Sat Aug 01 03:51:09 +0000 2020,wwg1wga qanoncanada,epsteinfiles,""
reply,1284951362191724544,2Qanons,Sat Aug 01 03:51:39 +0000 2020,qanon,"",""
reply,1228758085893640192,umpire_d,Sat Aug 01 03:52:09 +0000 2020,qanon,"",""
original,1289269739483799552,ClownMajority,Sat Aug 01 03:53:10 +0000 2020,billclinton epsteinisland qanons wwg1wga,"",""
quoted_tweet,96968240,Hitaqqti,Sat Aug 01 03:53:44 +0000 2020,taketheoath qanon qanonjapan q,taketheoath qajf q,""
reply,1046191658780561408,JimmyFalk5,Sat Aug 01 03:56:56 +0000 2020,qanon thegreatawakening,"",""
retweeted_tweet_without_comment,1008176372622110720,tooranomaki6910,Sat Aug 01 03:57:16 +0000 2020,trump kag qanon qarmy wwg1wga gitmo deepstate nk ww3,"",trump kag qanon qarmy wwg1wga gitmo deepstate nk ww3
retweeted_tweet_without_comment,96968240,Hitaqqti,Sat Aug 01 03:58:57 +0000 2020,qarmyjapanflynn qanon wwg1wga stormisuponus,"",qarmyjapanflynn qanon wwg1wga stormisuponus
reply,2459106619,the_dodman,Sat Aug 01 03:59:44 +0000 2020,keepamericagreat maga2020 qanons,"",""
retweeted_tweet_without_comment,1608622200,OneLastRun54,Sat Aug 01 02:00:47 +0000 2020,votered2020removeeverydemocrat voteredtosaveamerica2020 wwgiwga kag qanon2020,"",votered2020removeeverydemocrat voteredtosaveamerica2020 wwgiwga kag qanon2020 trump2020
original,1196612824426012672,BoomPanic,Sat Aug 01 02:02:05 +0000 2020,maga qanon qarmy qanonarmy saveamerica unitednotdivided wwg1wga exposeantifa,"",""
original,1243394941742538752,UTMBColorado,Sat Aug 01 02:03:06 +0000 2020,florida maga qanon kag2020 presidentsnowflake florida noonelikestrump,"",""
original,1243723277308026880,Quantum71700706,Sat Aug 01 02:03:36 +0000 2020,hydroxychloroquine dictatordan wwg1wga thegreatawakeningworldwide qanon aussieq hydrochloroquineisthecure,"",""
quoted_tweet,1280838693268393984,bilddawall,Sat Aug 01 02:05:17 +0000 2020,wwg1wga wwg1wgaworldwide qanon greatawakening,wwg1wga qanon wh1atf,""
reply,1273413072120578048,GuysCoast,Sat Aug 01 02:06:32 +0000 2020,qanons,"",""
quoted_tweet,1082041968316665856,x8Jhd3rN6sxMGhh,Sat Aug 01 02:07:48 +0000 2020,savethechildren qanons qarmyjapanflynn wwg1wga,"",""
quoted_tweet,1244994021086224384,tB7knnmHcALVTpY,Sat Aug 01 02:08:36 +0000 2020,qanon,trump2020landslide maga trump trump2020 americafirst kag magamemes,""
quoted_tweet,114774809,OtherMarySpeaks,Sat Aug 01 02:09:49 +0000 2020,wwg1wga wwg1wgaworldwide qanon greatawakening,wwg1wga qanon wh1atf,""
reply,1273413072120578048,GuysCoast,Sat Aug 01 02:11:00 +0000 2020,qanons trumpsevilplan,"",""
reply,1208088117724536832,MAGATeamCO,Sat Aug 01 02:11:47 +0000 2020,qanonworldwide copolitics co03 maga2020landslide,"",""
retweeted_tweet_without_comment,978036840904187904,Verbalmoto1,Sat Aug 01 02:11:50 +0000 2020,fookmasks quan qanon wwg1wga wwgowga,"",fookmasks quan qanon wwg1wga wwgowga
retweeted_tweet_without_comment,1141804326823825408,FalliveneEdward,Sat Aug 01 02:13:28 +0000 2020,maga kag qanon,"",maga kag qanon
reply,125972615,DaniellaluvsCC,Sat Aug 01 02:14:49 +0000 2020,trumpconcentrationcamps qanons maga,"",""
reply,4867931962,nttcool3,Sat Aug 01 02:15:11 +0000 2020,maga qanons,"",""
reply,874056907442475008,hello_franklin,Sat Aug 01 02:16:07 +0000 2020,qanonworldwide,"",""
quoted_tweet,1259268618057134080,Snoogins18,Sat Aug 01 02:17:03 +0000 2020,wwg1wga qanon,"",""
retweeted_tweet_without_comment,2253373777,MercuryEy,Sat Aug 01 02:18:34 +0000 2020,taketheoath qanon qarmyjapanflynn wwg1wga japan,"",taketheoath qanon qarmyjapanflynn wwg1wga japan 宣誓動画 q4510
original,2288781522,Just2spiffy,Sat Aug 01 02:20:17 +0000 2020,potus obamagate qanon walkaway wwg1wga trump2020,"",""
retweeted_tweet_without_comment,24573400,Godskid234,Sat Aug 01 02:21:55 +0000 2020,votered2020removeeverydemocrat voteredtosaveamerica2020 wwgiwga kag qanon2020,"",votered2020removeeverydemocrat voteredtosaveamerica2020 wwgiwga kag qanon2020 trump2020
quoted_tweet,841885784068222976,JulieHouseOfWow,Sat Aug 01 02:21:57 +0000 2020,osha fauci qanons wearethenewsnow thegreatawakening,researchforyourselves themoreyouknow truthisinplainsight,""
quoted_tweet,2596555064,happynyan8888,Sat Aug 01 02:23:37 +0000 2020,taketheoath qanon qanonjapan q,taketheoath qajf q,""
